track_uri,popularity,danceability,energy,speechiness,instrumentalness,liveness,loudness,tempo,valence
spotify:track:5XsnNWuvH1SoE81SHNAtl2,0,0.653,0.674,0.0471,0.0,"(0.347,)",-4.984,165.943,0.776
spotify:track:2oEQXHkZnboKJAkXvjo6Ol,16,0.291,0.164,0.0373,0.00252,"(0.0894,)",-15.261,113.099,0.081
spotify:track:13fmqCxrkQG1Ya9wjSmPAH,2,0.441,0.636,0.0332,0.0,"(0.316,)",-5.874,81.989,0.168
spotify:track:4RJaloHvZE0b63LUTPbn6z,53,0.816,0.279,0.29,0.855,"(0.0992,)",-8.877,78.008,0.404
spotify:track:1SvQOe8LdF51hGItUrozA9,45,0.565,0.483,0.0264,0.0,"(0.192,)",-8.167,109.972,0.433
spotify:track:1L94M3KIu7QluZe63g64rv,79,0.284,0.875,0.0422,0.000461,"(0.402,)",-6.069,75.009,0.595
spotify:track:3bNopejTiuFxDpB7CZhaRX,17,0.699,0.521,0.0842,7.14e-06,"(0.113,)",-9.497,124.051,0.0793
spotify:track:0EEu0doKWHSwhsRkdS0809,18,0.717,0.425,0.0332,4.55e-06,"(0.103,)",-8.792,124.984,0.213
spotify:track:5DSEsH11oe6IyStmZ8o0NT,37,0.429,0.221,0.0432,0.0,"(0.168,)",-9.096,87.072,0.327
spotify:track:2tD618zY76Q5jxQ31I8oDz,29,0.578,0.737,0.0719,0.000154,"(0.363,)",-10.024,133.019,0.528
spotify:track:2SKJGLadQUiBsnBd8OeOLd,0,0.613,0.669,0.156,0.0,"(0.281,)",-6.049,80.033,0.599
spotify:track:1UvTPXlImVd4jcucK4qJwb,64,0.7,0.781,0.0507,0.00342,"(0.059,)",-8.255,108.694,0.385
spotify:track:1owFovIlkaFUHArFF7Eah7,0,0.663,0.89,0.0443,0.0,"(0.128,)",-10.175,119.957,0.755
spotify:track:5gNZuJqupIzE7wTi3OGPGn,40,0.66,0.29,0.152,0.854,"(0.314,)",-13.433,170.113,0.249
spotify:track:3DMz5XiVasCKSHXgYrSc9i,60,0.724,0.829,0.033,0.000979,"(0.0855,)",-5.759,95.006,0.528
spotify:track:5RXMa45LmM3pDbTvkf3n4f,39,0.826,0.658,0.0517,0.0,"(0.0417,)",-3.846,115.022,0.523
spotify:track:6MByWSkfqebVmpPw3pA1uR,0,0.682,0.681,0.0291,0.0162,"(0.101,)",-5.435,111.037,0.577
spotify:track:6SA3uHu5KES0z0xhTc9kwW,0,0.623,0.478,0.04,0.0,"(0.107,)",-7.26,153.886,0.306
spotify:track:4F6YokiC96Kim3ldv0qhrN,44,0.68,0.631,0.0394,0.879,"(0.109,)",-10.811,139.982,0.424
spotify:track:0i2kbtVL0uoA2A3Q3KBgks,32,0.539,0.281,0.0329,0.0,"(0.102,)",-8.808,72.125,0.375
spotify:track:05qXhd5dgfDS5mDEf7dbfN,0,0.775,0.743,0.106,0.0,"(0.123,)",-5.037,104.992,0.768
spotify:track:25zJYvUudXPSIFTsVjIDWw,0,0.395,0.702,0.0323,1.78e-05,"(0.0892,)",-4.157,107.795,0.137
spotify:track:0fhW9WT8OFwWoJXxaylQfE,46,0.936,0.559,0.0456,1.49e-06,"(0.164,)",-8.136,109.991,0.6
spotify:track:36IZGm2IuECLTxMKa9qajO,1,0.644,0.661,0.0418,5.14e-06,"(0.108,)",-6.093,154.001,0.272
spotify:track:2IY537C2ecmUMJ46bYQggp,58,0.607,0.655,0.0341,0.0,"(0.114,)",-8.055,136.028,0.255
spotify:track:7AN15jOombgNojiAQ5IUG0,55,0.644,0.224,0.0791,0.0,"(0.143,)",-11.981,180.067,0.447
spotify:track:74C6GuYFTHwgHY2pzPEAWG,22,0.502,0.204,0.0366,0.862,"(0.802,)",-15.081,147.979,0.0398
